2;"The Game";1980;2
5;"The Works";1984;2
13;"Escape";1981;11
14;"Appetite for Destruction";1987;12
23;"Slippery When Wet";1986;21
24;"Thriller";1982;22
25;"Purple Rain";1984;23
29;"Hunting High and Low";1985;24
36;"Kats on the Katscratch";1983;30
40;"I Love Rock 'n' Roll";1981;33
44;"Eye of the Tiger";1982;36
47;"An Innocent Man";1983;39
50;"Greatest Hits";1982;42
101;"Don't Stop Believin'";1981;11
132;"The Breaks";1980;100
133;"The Glamorous Life";1984;101
134;"Candy";1983;102
135;"Fame";1980;103
137;"Diana";1980;105
145;"Street Songs";1981;112
155;"Bad";1987;22
159;"Midnight Love";1982;111
170;"The Big Gundown";1986;123
176;"Combat Rock";1982;124
182;"Walking on Sunshine";1985;133
183;"The Power of Love";1985;134
184;"Billy Idol";1982;135
186;"The Message";1982;136
187;"Synchronicity";1983;129
189;"She's So Unusual";1983;137
193;"Cosmic Thing";1989;141
194;"Tango in the Night";1987;84
198;"Ace of Spades";1980;143
201;"Let's Dance";1983;131
202;"Rebel Yell";1983;135
206;"Long Distance Voyager";1981;146
207;"Strength in Numbers";1986;146
208;"Special Forces";1982;146
209;"Tour de Force";1983;146
210;"WildEyed Southern Boys";1981;146
211;"Rockin' Into the Night";1985;146
212;"Drivetrain";1982;146
213;"Bone Against Steel";1983;146
216;"Second Chance";1986;42
222;"Whitney";1987;4
225;"Make It Big";1984;153
231;"Kats on the Coast";1983;133
240;"Crazy Crazy Nights";1987;162
242;"Animalize";1984;162
244;"Lick It Up";1983;162
248;"Hot in the Shade";1989;162
251;"Creatures of the Night";1982;162
254;"Asylum";1985;162
256;"Unmasked";1980;162
272;"Blizzard of Ozz";1980;182
275;"Madonna";1985;185
331;"Rattle and Hum";1988;220
345;"Ghost in the Machine";1981;129
351;"Crimes of Passion";1980;230
356;"1984";1983;232
367;"Anthology";1986;235
368;"Rapture";1986;235
369;"Giving You the Best That I Got";1988;235
397;"Agent Provocateur";1984;236
399;"Face Value";1981;279
402;"Brothers in Arms";1985;164
407;"The Number of the Beast";1982;284
409;"The Final Countdown";1986;285
410;"Piece of Mind";1983;284
411;"Back in Black";1980;286
429;"Love Is A Battlefield";1983;230
434;"Rufus";1983;298
435;"Various Positions";1984;26
436;"Katrina & The Waves";1985;133
437;"Building The Perfect Beast";1984;299
452;"We Are the World";1985;308
453;"The Woman in Red";1984;92
454;"The Singles Collection";1986;129
458;"Lost In Your Eyes";1988;310
459;"Heaven On Earth";1987;311
460;"Whenever You Need Somebody";1987;313
461;"Dirty Dancing";1987;314
462;"Footloose";1984;315
463;"Back To The Future";1985;317
464;"The Hit Album";1986;318
465;"Into The Light";1986;319
466;"Top Gun";1986;320
467;"Parade";1986;321
468;"True Blue";1986;185
469;"Like A Prayer";1989;322
470;"Private Dancer";1984;323
471;"Sweet Dreams (Are Made Of This)";1983;325
472;"Rocky IV";1985;118
474;"Faster Than The Speed Of Night";1983;324
475;"Rhino HiFive: Men Without Hats";1983;328
476;"Open Up And Say...Ahh!";1988;329
477;"Look Sharp!";1988;330
478;"The Breakfast Club";1985;331
479;"Youthquake";1985;332
480;"The Raw & The Cooked";1988;333
481;"Beverly Hills Cop";1984;334
488;"Ain't Nobody";1983;298
491;"H2O";1982;337
494;"NonStop Erotic Cabaret";1981;338
509;"9 to 5 and Odd Jobs";1980;70
541;"Can't Slow Down";1983;375
547;"Bad to the Bone";1982;380
549;"Full Moon Fever";1989;381
622;"Super Mario Bros.";1985;419
626;"Clannad";1983;424
665;"Aerosmith's Greatest Hits";1980;41
666;"Pyromania";1983;436
667;"Eliminator";1983;352
670;"90125";1983;437
671;"Hysteria";1987;436
672;"Tattoo You";1981;147
679;"Always On My Mind";1982;439
686;"Faith";1987;442
694;"Departure";1980;11
698;"Born in the U.S.A.";1984;144
702;"American Patriot";1984;450
703;"The Best of Anita Baker";1986;235
